time_s,time_us,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,uart_transfer_init_error,uart_transfer_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,reset_counter,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315964849,230000,0,-116,-14,-116,0,0,-14,0,0,0,-88,1941,1801,158,5,8,181,11,0,1980-01-06T03:00:49,1601677720.581852,2020-10-03T01:28:40
315964865,161000,0,-116,-14,-19,0,0,-14,0,0,0,-88,2715,2551,185,7,8,8,11,0,1980-01-06T03:01:05,1601677734.870712,2020-10-03T01:28:54
315964877,667000,0,-116,-14,-116,0,0,-14,0,0,0,-88,3322,3151,192,8,8,89,11,0,1980-01-06T03:01:17,1601677749.523593,2020-10-03T01:29:09
315964890,997000,0,-116,-14,-19,0,0,-14,0,0,0,-88,3940,3751,213,10,8,167,11,0,1980-01-06T03:01:30,1601677763.7199,2020-10-03T01:29:23
315964906,53000,0,-116,-14,-116,0,0,-14,0,0,0,-88,4701,4501,225,12,8,248,11,0,1980-01-06T03:01:46,1601677777.2939398,2020-10-03T01:29:37
315964917,649000,0,-116,-14,-116,0,0,-14,0,0,0,-88,5302,5101,226,14,8,73,11,0,1980-01-06T03:01:57,1601677792.048256,2020-10-03T01:29:52
315964930,887000,0,-116,-14,-116,0,0,-14,0,0,0,-88,6052,5851,226,16,8,151,11,0,1980-01-06T03:02:10,1601677806.6013,2020-10-03T01:30:06
315964944,109000,0,-116,-14,-116,0,0,-14,0,0,0,-88,6802,6601,226,18,8,230,11,0,1980-01-06T03:02:24,1601677821.570652,2020-10-03T01:30:21
315964957,670000,0,-116,-14,-14,0,0,-14,0,0,0,-88,7410,7201,236,19,8,50,11,0,1980-01-06T03:02:37,1601677835.3344839,2020-10-03T01:30:35
315964972,142000,0,-116,-14,-116,0,0,-14,0,0,0,-88,8020,7801,246,21,8,127,11,0,1980-01-06T03:02:52,1601677850.332917,2020-10-03T01:30:50
315964987,379000,0,-116,-14,-116,0,0,-14,0,0,0,-88,8772,8551,248,23,8,206,11,0,1980-01-06T03:03:07,1601677864.186128,2020-10-03T01:31:04
315965001,581000,0,-116,-14,-116,0,0,-14,0,0,0,-88,9523,9301,249,25,8,31,11,0,1980-01-06T03:03:21,1601677879.644484,2020-10-03T01:31:19
315965012,163000,0,-116,-14,-116,0,0,-14,0,0,0,-88,10123,9901,249,27,8,114,11,0,1980-01-06T03:03:32,1601677893.898988,2020-10-03T01:31:33
315965029,25000,0,-116,-14,-116,0,0,-14,0,0,0,-88,11025,10801,251,29,8,197,11,0,1980-01-06T03:03:49,1601677908.261705,2020-10-03T01:31:48
315965042,262000,0,-116,-14,-116,0,0,-14,0,0,0,-88,11775,11551,251,31,8,20,11,0,1980-01-06T03:04:02,1601677922.645216,2020-10-03T01:32:02
