time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802586,297500,1.46477210521698,1.9781920909881592,95.60232543945312,13.788412094116211,32.4064826965332,0.001081253751181066,98,13,0,2020-10-04T12:09:46,1601676534.2611399,2020-10-03T01:08:54
1601802596,297500,1.4616820812225342,1.9834141731262207,100.43197631835938,14.46707820892334,37.06327438354492,0.0008439883822575212,145,13,0,2020-10-04T12:09:56,1601676543.9469118,2020-10-03T01:09:03
1601802604,351500,1.4402813911437988,2.020272970199585,103.03255462646484,14.832172393798828,37.06327438354492,0.0008439883822575212,189,13,0,2020-10-04T12:10:04,1601676551.633781,2020-10-03T01:09:11
1601802614,351500,1.4327348470687866,2.0335662364959717,105.77001190185547,15.216233253479004,45.82899856567383,0.0005704593495465815,235,13,0,2020-10-04T12:10:14,1601676561.455025,2020-10-03T01:09:21
1601802621,351500,1.4601401090621948,1.9860292673110962,114.92092895507812,16.49831771850586,48.70524978637695,0.0005098574911244214,20,13,0,2020-10-04T12:10:21,1601676568.7461479,2020-10-03T01:09:28
1601802631,351500,1.463226079940796,1.9808017015457153,125.78764343261719,18.017480850219727,45.82899856567383,0.0005704593495465815,66,13,0,2020-10-04T12:10:31,1601676578.7215009,2020-10-03T01:09:38
1601802639,412500,1.4539929628372192,1.9965169429779053,121.94586944580078,17.48079490661621,45.82899856567383,0.0005704593495465815,113,13,0,2020-10-04T12:10:39,1601676587.262992,2020-10-03T01:09:47
1601802649,412500,1.485062599182129,1.9445077180862427,121.94586944580078,17.48079490661621,45.82899856567383,0.0005704593495465815,159,13,0,2020-10-04T12:10:49,1601676597.193244,2020-10-03T01:09:57
1601802657,412500,1.463226079940796,1.9808017015457153,121.94586944580078,17.48079490661621,51.965003967285156,0.000452414620667696,202,13,0,2020-10-04T12:10:57,1601676605.246688,2020-10-03T01:10:05
1601802667,472500,1.4866383075714111,1.9419351816177368,121.94586944580078,17.48079490661621,48.70524978637695,0.0005098574911244214,247,13,0,2020-10-04T12:11:07,1601676614.651036,2020-10-03T01:10:14
1601802675,472500,1.463226079940796,1.9808017015457153,125.78764343261719,18.017480850219727,55.6904411315918,0.00039815768832340837,36,13,0,2020-10-04T12:11:15,1601676622.876577,2020-10-03T01:10:22
1601802685,472500,1.4725340604782104,1.965183138847351,129.8772735595703,18.588342666625977,55.6904411315918,0.00039815768832340837,80,13,0,2020-10-04T12:11:25,1601676632.8866248,2020-10-03T01:10:32
