time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601803137,325000,0,0,0,0,1,2,127,13,0,2020-10-04T12:18:57,1601677470.422657,2020-10-03T01:24:30
1601803151,995000,0,0,0,0,1,2,200,13,0,2020-10-04T12:19:11,1601677484.231001,2020-10-03T01:24:44
1601803166,995000,0,0,0,0,1,2,16,13,0,2020-10-04T12:19:26,1601677498.399549,2020-10-03T01:24:58
1601803178,604000,0,0,0,0,1,2,86,13,0,2020-10-04T12:19:38,1601677510.0193958,2020-10-03T01:25:10
1601803190,604000,0,0,0,0,1,2,160,13,0,2020-10-04T12:19:50,1601677523.2114959,2020-10-03T01:25:23
1601803202,604000,0,0,0,0,1,2,231,13,0,2020-10-04T12:20:02,1601677536.079948,2020-10-03T01:25:36
1601803214,214000,0,0,0,0,1,2,40,13,0,2020-10-04T12:20:14,1601677548.08806,2020-10-03T01:25:48
1601803229,214000,0,0,0,0,1,2,111,13,0,2020-10-04T12:20:29,1601677561.76352,2020-10-03T01:26:01
1601802985,260000,0,0,0,0,1,2,191,13,0,2020-10-04T12:16:25,1601677575.6264799,2020-10-03T01:26:15
1601802994,260000,0,0,0,0,1,2,237,13,0,2020-10-04T12:16:34,1601677587.551281,2020-10-03T01:26:27
1601803009,260000,0,0,0,0,1,2,55,13,0,2020-10-04T12:16:49,1601677601.423084,2020-10-03T01:26:41
1601803023,867000,0,0,0,0,1,2,127,13,0,2020-10-04T12:17:03,1601677615.1834679,2020-10-03T01:26:55
1601803038,867000,0,0,0,0,1,2,204,13,0,2020-10-04T12:17:18,1601677629.767448,2020-10-03T01:27:09
1601803050,476000,0,0,0,0,1,2,19,13,0,2020-10-04T12:17:30,1601677643.993721,2020-10-03T01:27:23
1601803065,476000,0,0,0,0,1,2,100,13,0,2020-10-04T12:17:45,1601677658.7350678,2020-10-03T01:27:38
1601803080,84000,0,0,0,0,1,2,173,13,0,2020-10-04T12:18:00,1601677672.167877,2020-10-03T01:27:52
1601803092,84000,0,0,0,0,1,2,250,13,0,2020-10-04T12:18:12,1601677686.510872,2020-10-03T01:28:06
315964831,205000,0,0,0,0,1,2,75,13,0,1980-01-06T03:00:31,1601677701.165233,2020-10-03T01:28:21
315964846,205000,0,0,0,0,1,2,154,13,0,1980-01-06T03:00:46,1601677715.045565,2020-10-03T01:28:35
315964860,813000,0,0,0,0,1,2,235,13,0,1980-01-06T03:01:00,1601677729.295153,2020-10-03T01:28:49
315964875,813000,0,0,0,0,1,2,62,13,0,1980-01-06T03:01:15,1601677744.457857,2020-10-03T01:29:04
315964887,813000,0,0,0,0,1,2,141,13,0,1980-01-06T03:01:27,1601677758.031309,2020-10-03T01:29:18
315964902,424000,0,0,0,0,1,2,221,13,0,1980-01-06T03:01:42,1601677772.5708919,2020-10-03T01:29:32
315964917,424000,0,0,0,0,1,2,46,13,0,1980-01-06T03:01:57,1601677787.4273438,2020-10-03T01:29:47
315964932,35000,0,0,0,0,1,2,124,13,0,1980-01-06T03:02:12,1601677801.607061,2020-10-03T01:30:01
315964947,35000,0,0,0,0,1,2,203,13,0,1980-01-06T03:02:27,1601677816.677136,2020-10-03T01:30:16
315964958,643000,0,0,0,0,1,2,23,13,0,1980-01-06T03:02:38,1601677830.6617599,2020-10-03T01:30:30
315964973,643000,0,0,0,0,1,2,102,13,0,1980-01-06T03:02:53,1601677845.1961808,2020-10-03T01:30:45
315964988,250000,0,0,0,0,1,2,181,13,0,1980-01-06T03:03:08,1601677860.5291119,2020-10-03T01:31:00
315965003,250000,0,0,0,0,1,2,6,13,0,1980-01-06T03:03:23,1601677874.834308,2020-10-03T01:31:14
315965017,859000,0,0,0,0,1,2,87,13,0,1980-01-06T03:03:37,1601677889.165552,2020-10-03T01:31:29
315965032,859000,0,0,0,0,1,2,170,13,0,1980-01-06T03:03:52,1601677903.227777,2020-10-03T01:31:43
