time_s,time_us,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965264,449505,0,0,0,0,0,0,0,0,0,0,4273341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,156,20,0,1980-01-06T03:07:44,1601678138.516353,2020-10-03T01:35:38
315965277,246376,0,0,0,0,0,0,0,0,0,0,4286341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,228,20,0,1980-01-06T03:07:57,1601678151.5172448,2020-10-03T01:35:51
315965292,12006,0,0,0,0,0,0,0,0,0,0,4301341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,48,20,0,1980-01-06T03:08:12,1601678165.508409,2020-10-03T01:36:05
315965305,793255,0,0,0,0,0,0,0,0,0,0,4315341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,130,20,0,1980-01-06T03:08:25,1601678180.353669,2020-10-03T01:36:20
315965317,605755,0,0,0,0,0,0,0,0,0,0,4327341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,208,20,0,1980-01-06T03:08:37,1601678193.733877,2020-10-03T01:36:33
315965332,371376,0,0,0,0,0,0,0,0,0,0,4342341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,26,20,0,1980-01-06T03:08:52,1601678207.213897,2020-10-03T01:36:47
315965346,152627,0,0,0,0,0,0,0,0,0,0,4356341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,108,20,0,1980-01-06T03:09:06,1601678221.8042998,2020-10-03T01:37:01
315965360,918255,0,0,0,0,0,0,0,0,0,0,4371341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,185,20,0,1980-01-06T03:09:20,1601678236.65238,2020-10-03T01:37:16
315965375,683889,0,0,0,0,0,0,0,0,0,0,4386341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,9,20,0,1980-01-06T03:09:35,1601678251.526533,2020-10-03T01:37:31
1601804322,914143,0,0,0,0,0,0,0,0,0,0,4404341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347217,99,20,0,2020-10-04T12:38:42,1601678269.330185,2020-10-03T01:37:49
1601804340,907877,0,0,0,0,0,0,0,0,0,0,4422341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,190,20,0,2020-10-04T12:39:00,1601678286.661821,2020-10-03T01:38:06
1601804358,952738,0,0,0,0,0,0,0,0,0,0,4440341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,23,20,0,2020-10-04T12:39:18,1601678304.242348,2020-10-03T01:38:24
1601804375,941201,0,0,0,0,0,0,0,0,0,0,4457341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,108,20,0,2020-10-04T12:39:35,1601678321.8895838,2020-10-03T01:38:41
1601804390,893544,0,0,0,0,0,0,0,0,0,0,4472341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,194,20,0,2020-10-04T12:39:50,1601678337.4719,2020-10-03T01:38:57
1601804408,817723,0,0,0,0,0,0,0,0,0,0,4490341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,27,20,0,2020-10-04T12:40:08,1601678354.609529,2020-10-03T01:39:14
