time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
1601805036,387500,3.5416011810302734,89,13,0,2020-10-04T12:50:36
1601805037,387500,3.5416011810302734,94,13,0,2020-10-04T12:50:37
1601805038,387500,3.5416011810302734,99,13,0,2020-10-04T12:50:38
1601805039,387500,3.166788101196289,103,13,0,2020-10-04T12:50:39
1601805040,387500,3.5416011810302734,108,13,0,2020-10-04T12:50:40
1601805041,387500,3.3542098999023438,113,13,0,2020-10-04T12:50:41
1601805042,387500,3.7290210723876953,117,13,0,2020-10-04T12:50:42
1601805043,387500,3.7290210723876953,122,13,0,2020-10-04T12:50:43
1601805044,387500,3.7290210723876953,127,13,0,2020-10-04T12:50:44
1601805045,387500,3.7290210723876953,131,13,0,2020-10-04T12:50:45
1601805046,387500,3.91644287109375,136,13,0,2020-10-04T12:50:46
1601805047,387500,4.10383415222168,141,13,0,2020-10-04T12:50:47
1601805048,387500,3.7290210723876953,145,13,0,2020-10-04T12:50:48
1601805049,387500,3.7290210723876953,150,13,0,2020-10-04T12:50:49
1601805050,237500,3.7290210723876953,155,13,0,2020-10-04T12:50:50
1601805051,237500,3.7290210723876953,159,13,0,2020-10-04T12:50:51
1601805052,237500,4.10383415222168,164,13,0,2020-10-04T12:50:52
1601805053,237500,3.7290210723876953,169,13,0,2020-10-04T12:50:53
1601805054,237500,3.91644287109375,173,13,0,2020-10-04T12:50:54
1601805055,237500,3.7290210723876953,178,13,0,2020-10-04T12:50:55
1601805056,237500,4.10383415222168,183,13,0,2020-10-04T12:50:56
1601805057,237500,4.291255950927734,187,13,0,2020-10-04T12:50:57
1601805058,237500,4.10383415222168,192,13,0,2020-10-04T12:50:58
1601805059,237500,4.10383415222168,197,13,0,2020-10-04T12:50:59
1601805060,237500,3.7290210723876953,201,13,0,2020-10-04T12:51:00
1601805061,237500,4.10383415222168,206,13,0,2020-10-04T12:51:01
1601805062,237500,4.478675842285156,211,13,0,2020-10-04T12:51:02
1601805063,237500,3.91644287109375,215,13,0,2020-10-04T12:51:03
1601805064,237500,3.91644287109375,220,13,0,2020-10-04T12:51:04
1601805065,237500,3.91644287109375,225,13,0,2020-10-04T12:51:05
1601805066,237500,3.91644287109375,229,13,0,2020-10-04T12:51:06
1601805067,237500,4.666067123413086,234,13,0,2020-10-04T12:51:07
1601805068,237500,4.478675842285156,239,13,0,2020-10-04T12:51:08
1601805069,237500,3.91644287109375,243,13,0,2020-10-04T12:51:09
1601805070,237500,4.291255950927734,248,13,0,2020-10-04T12:51:10
1601805071,237500,4.478675842285156,253,13,0,2020-10-04T12:51:11
1601805072,237500,4.291255950927734,1,13,0,2020-10-04T12:51:12
1601805073,237500,4.10383415222168,6,13,0,2020-10-04T12:51:13
1601805074,237500,4.10383415222168,11,13,0,2020-10-04T12:51:14
1601805075,237500,3.7290210723876953,15,13,0,2020-10-04T12:51:15
1601805076,237500,4.291255950927734,20,13,0,2020-10-04T12:51:16
1601805077,237500,4.666067123413086,25,13,0,2020-10-04T12:51:17
1601805078,237500,4.478675842285156,29,13,0,2020-10-04T12:51:18
1601805079,237500,4.10383415222168,34,13,0,2020-10-04T12:51:19
1601805080,237500,3.91644287109375,39,13,0,2020-10-04T12:51:20
1601805081,204500,4.478675842285156,43,13,0,2020-10-04T12:51:21
1601805082,204500,4.853488922119141,48,13,0,2020-10-04T12:51:22
1601805083,204500,4.291255950927734,53,13,0,2020-10-04T12:51:23
1601805084,204500,4.291255950927734,57,13,0,2020-10-04T12:51:24
1601805085,204500,4.853488922119141,62,13,0,2020-10-04T12:51:25
1601805086,204500,4.478675842285156,67,13,0,2020-10-04T12:51:26
1601805087,204500,4.853488922119141,71,13,0,2020-10-04T12:51:27
1601805088,204500,4.478675842285156,76,13,0,2020-10-04T12:51:28
1601805089,204500,4.666067123413086,81,13,0,2020-10-04T12:51:29
1601805090,204500,4.853488922119141,85,13,0,2020-10-04T12:51:30
1601805091,204500,4.666067123413086,90,13,0,2020-10-04T12:51:31
1601805092,204500,4.478675842285156,95,13,0,2020-10-04T12:51:32
1601805093,204500,4.666067123413086,99,13,0,2020-10-04T12:51:33
1601805094,204500,4.666067123413086,104,13,0,2020-10-04T12:51:34
1601805095,204500,4.666067123413086,109,13,0,2020-10-04T12:51:35
1601805096,204500,4.853488922119141,113,13,0,2020-10-04T12:51:36
1601805097,204500,4.853488922119141,118,13,0,2020-10-04T12:51:37
