time_s,time_us,rx_done_cnt,rx_dropped_cnt,rx_error_cnt,tx_done_cnt,tx_zeroes_cnt,tx_overrun_cnt,tx_error_cnt,restarts_cnt,listen_done_cnt,last_error,seq,srcSystem,srcComponent,time_gregorian
1601800614,559500,10878,0,0,10832,0,0,0,0,21710,0,198,13,0,2020-10-04T11:36:54
1601800617,559500,10926,0,0,10880,0,0,0,0,21806,0,212,13,0,2020-10-04T11:36:57
1601800620,559500,10974,0,0,10928,0,0,0,0,21902,0,226,13,0,2020-10-04T11:37:00
1601800623,559500,11022,0,0,10976,0,0,0,0,21998,0,240,13,0,2020-10-04T11:37:03
1601800626,559500,11069,0,0,11023,0,0,0,0,22092,0,254,13,0,2020-10-04T11:37:06
1601800629,181500,11118,0,0,11070,0,0,0,0,22188,0,12,13,0,2020-10-04T11:37:09
1601800632,181500,11164,0,0,11116,0,0,0,0,22280,0,26,13,0,2020-10-04T11:37:12
1601800635,181500,11210,0,0,11162,0,0,0,0,22372,0,40,13,0,2020-10-04T11:37:15
1601800638,181500,11256,0,0,11208,0,0,0,0,22464,0,54,13,0,2020-10-04T11:37:18
1601800641,181500,11304,0,0,11256,0,0,0,0,22560,0,68,13,0,2020-10-04T11:37:21
1601800644,181500,11351,0,0,11303,0,0,0,0,22654,0,82,13,0,2020-10-04T11:37:24
1601800647,181500,11397,0,0,11349,0,0,0,0,22746,0,96,13,0,2020-10-04T11:37:27
1601800650,181500,11443,0,0,11395,0,0,0,0,22838,0,110,13,0,2020-10-04T11:37:30
1601800653,181500,11490,0,0,11442,0,0,0,0,22932,0,124,13,0,2020-10-04T11:37:33
1601800656,181500,11537,0,0,11489,0,0,0,0,23026,0,138,13,0,2020-10-04T11:37:36
1601800658,804500,11586,0,0,11536,0,0,0,0,23122,0,152,13,0,2020-10-04T11:37:38
1601800661,804500,11633,0,0,11583,0,0,0,0,23216,0,166,13,0,2020-10-04T11:37:41
1601800664,804500,11679,0,0,11629,0,0,0,0,23308,0,180,13,0,2020-10-04T11:37:44
1601800667,804500,11724,0,0,11674,0,0,0,0,23398,0,194,13,0,2020-10-04T11:37:47
1601800670,804500,11770,0,0,11720,0,0,0,0,23490,0,208,13,0,2020-10-04T11:37:50
1601800673,804500,11816,0,0,11766,0,0,0,0,23582,0,222,13,0,2020-10-04T11:37:53
1601800676,804500,11862,0,0,11812,0,0,0,0,23674,0,236,13,0,2020-10-04T11:37:56
1601800679,804500,11908,0,0,11858,0,0,0,0,23766,0,250,13,0,2020-10-04T11:37:59
1601800682,804500,11954,0,0,11904,0,0,0,0,23858,0,8,13,0,2020-10-04T11:38:02
1601800685,804500,12000,0,0,11950,0,0,0,0,23950,0,22,13,0,2020-10-04T11:38:05
1601800688,804500,12046,0,0,11996,0,0,0,0,24042,0,36,13,0,2020-10-04T11:38:08
1601800691,426500,12093,0,0,12041,0,0,0,0,24134,0,50,13,0,2020-10-04T11:38:11
1601800694,426500,12139,0,0,12087,0,0,0,0,24226,0,64,13,0,2020-10-04T11:38:14
1601800697,426500,12187,0,0,12135,0,0,0,0,24322,0,78,13,0,2020-10-04T11:38:17
1601800700,426500,12236,0,0,12184,0,0,0,0,24420,0,92,13,0,2020-10-04T11:38:20
1601800703,426500,12285,0,0,12233,0,0,0,0,24518,0,106,13,0,2020-10-04T11:38:23
1601800706,426500,12334,0,0,12282,0,0,0,0,24616,0,120,13,0,2020-10-04T11:38:26
1601800709,426500,12382,0,0,12330,0,0,0,0,24712,0,134,13,0,2020-10-04T11:38:29
1601800712,426500,12431,0,0,12379,0,0,0,0,24810,0,148,13,0,2020-10-04T11:38:32
1601800715,426500,12480,0,0,12428,0,0,0,0,24908,0,162,13,0,2020-10-04T11:38:35
1601800718,426500,12529,0,0,12477,0,0,0,0,25006,0,176,13,0,2020-10-04T11:38:38
1601800721,48500,12580,0,0,12526,0,0,0,0,25106,0,190,13,0,2020-10-04T11:38:41
