time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1601800141,27000,18.654176712036133,9,13,0,2020-10-04T11:29:01
1601800142,27000,18.27491569519043,14,13,0,2020-10-04T11:29:02
1601800143,27000,18.260868072509766,18,13,0,2020-10-04T11:29:03
1601800144,27000,18.654176712036133,23,13,0,2020-10-04T11:29:04
1601800145,27000,18.654176712036133,28,13,0,2020-10-04T11:29:05
1601800146,27000,18.66822624206543,32,13,0,2020-10-04T11:29:06
1601800147,27000,18.345149993896484,37,13,0,2020-10-04T11:29:07
1601800148,27000,18.401336669921875,42,13,0,2020-10-04T11:29:08
1601800149,27000,18.654176712036133,46,13,0,2020-10-04T11:29:09
1601800150,27000,18.66822624206543,51,13,0,2020-10-04T11:29:10
1601800151,27000,18.513710021972656,56,13,0,2020-10-04T11:29:11
1601800152,27000,18.499664306640625,60,13,0,2020-10-04T11:29:12
1601800153,27000,18.66822624206543,65,13,0,2020-10-04T11:29:13
1601800154,27000,18.68227195739746,70,13,0,2020-10-04T11:29:14
1601800155,27000,18.66822624206543,74,13,0,2020-10-04T11:29:15
1601800156,27000,18.499664306640625,79,13,0,2020-10-04T11:29:16
1601800157,27000,18.654176712036133,84,13,0,2020-10-04T11:29:17
1601800158,27000,18.66822624206543,88,13,0,2020-10-04T11:29:18
1601800159,27000,18.66822624206543,93,13,0,2020-10-04T11:29:19
1601800160,27000,18.597991943359375,98,13,0,2020-10-04T11:29:20
1601800161,27000,18.38728904724121,102,13,0,2020-10-04T11:29:21
1601800162,27000,18.66822624206543,107,13,0,2020-10-04T11:29:22
1601800163,27000,18.68227195739746,112,13,0,2020-10-04T11:29:23
1601800164,27000,18.401336669921875,116,13,0,2020-10-04T11:29:24
1601800165,27000,18.471569061279297,121,13,0,2020-10-04T11:29:25
1601800166,27000,18.23277473449707,126,13,0,2020-10-04T11:29:26
1601800167,27000,18.66822624206543,130,13,0,2020-10-04T11:29:27
1601800168,27000,18.66822624206543,135,13,0,2020-10-04T11:29:28
1601800169,27000,18.66822624206543,140,13,0,2020-10-04T11:29:29
1601800170,27000,18.429431915283203,144,13,0,2020-10-04T11:29:30
1601800170,644000,18.28896141052246,149,13,0,2020-10-04T11:29:30
1601800171,644000,18.68227195739746,154,13,0,2020-10-04T11:29:31
1601800172,644000,18.71036720275879,158,13,0,2020-10-04T11:29:32
1601800173,644000,18.204681396484375,163,13,0,2020-10-04T11:29:33
1601800174,644000,18.28896141052246,168,13,0,2020-10-04T11:29:34
1601800175,644000,18.696317672729492,172,13,0,2020-10-04T11:29:35
1601800176,644000,18.68227195739746,177,13,0,2020-10-04T11:29:36
1601800177,644000,18.66822624206543,182,13,0,2020-10-04T11:29:37
1601800178,644000,18.4575252532959,186,13,0,2020-10-04T11:29:38
1601800179,644000,18.696317672729492,191,13,0,2020-10-04T11:29:39
1601800180,644000,18.68227195739746,196,13,0,2020-10-04T11:29:40
1601800181,644000,18.696317672729492,200,13,0,2020-10-04T11:29:41
1601800182,644000,18.331100463867188,205,13,0,2020-10-04T11:29:42
1601800183,644000,18.331100463867188,210,13,0,2020-10-04T11:29:43
1601800184,644000,18.696317672729492,214,13,0,2020-10-04T11:29:44
1601800185,644000,18.696317672729492,219,13,0,2020-10-04T11:29:45
1601800186,644000,18.401336669921875,224,13,0,2020-10-04T11:29:46
1601800187,644000,18.28896141052246,228,13,0,2020-10-04T11:29:47
1601800188,644000,18.71036720275879,233,13,0,2020-10-04T11:29:48
1601800189,644000,18.696317672729492,238,13,0,2020-10-04T11:29:49
