time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
1601800512,292000,0,0,0,0,1,2,227,13,0,2020-10-04T11:35:12
1601800515,292000,0,0,0,0,1,2,241,13,0,2020-10-04T11:35:15
1601800518,292000,0,0,0,0,1,2,255,13,0,2020-10-04T11:35:18
1601800521,292000,0,0,0,0,1,2,13,13,0,2020-10-04T11:35:21
1601800524,292000,0,0,0,0,1,2,27,13,0,2020-10-04T11:35:24
1601800527,292000,0,0,0,0,1,2,41,13,0,2020-10-04T11:35:27
1601800530,292000,0,0,0,0,1,2,55,13,0,2020-10-04T11:35:30
1601800533,292000,0,0,0,0,1,2,69,13,0,2020-10-04T11:35:33
1601800536,292000,0,0,0,0,1,2,83,13,0,2020-10-04T11:35:36
1601800538,914000,0,0,0,0,1,2,97,13,0,2020-10-04T11:35:38
1601800541,914000,0,0,0,0,1,2,111,13,0,2020-10-04T11:35:41
1601800544,914000,0,0,0,0,1,2,125,13,0,2020-10-04T11:35:44
1601800547,914000,0,0,0,0,1,2,139,13,0,2020-10-04T11:35:47
1601800550,914000,0,0,0,0,1,2,153,13,0,2020-10-04T11:35:50
1601800553,914000,0,0,0,0,1,2,167,13,0,2020-10-04T11:35:53
1601800556,914000,0,0,0,0,1,2,181,13,0,2020-10-04T11:35:56
1601800559,914000,0,0,0,0,1,2,195,13,0,2020-10-04T11:35:59
1601800562,914000,0,0,0,0,1,2,209,13,0,2020-10-04T11:36:02
1601800565,914000,0,0,0,0,1,2,223,13,0,2020-10-04T11:36:05
1601800568,537000,0,0,0,0,1,2,237,13,0,2020-10-04T11:36:08
1601800571,537000,0,0,0,0,1,2,251,13,0,2020-10-04T11:36:11
1601800574,537000,0,0,0,0,1,2,9,13,0,2020-10-04T11:36:14
1601800577,537000,0,0,0,0,1,2,23,13,0,2020-10-04T11:36:17
1601800580,537000,0,0,0,0,1,2,37,13,0,2020-10-04T11:36:20
1601800583,537000,0,0,0,0,1,2,51,13,0,2020-10-04T11:36:23
1601800586,537000,0,0,0,0,1,2,65,13,0,2020-10-04T11:36:26
1601800589,537000,0,0,0,0,1,2,79,13,0,2020-10-04T11:36:29
1601800592,537000,0,0,0,0,1,2,93,13,0,2020-10-04T11:36:32
1601800595,537000,0,0,0,0,1,2,107,13,0,2020-10-04T11:36:35
1601800598,159000,0,0,0,0,1,2,121,13,0,2020-10-04T11:36:38
1601800601,159000,0,0,0,0,1,2,135,13,0,2020-10-04T11:36:41
1601800604,159000,0,0,0,0,1,2,149,13,0,2020-10-04T11:36:44
1601800607,159000,0,0,0,0,1,2,163,13,0,2020-10-04T11:36:47
1601800610,159000,0,0,0,0,1,2,177,13,0,2020-10-04T11:36:50
1601800613,159000,0,0,0,0,1,2,191,13,0,2020-10-04T11:36:53
1601800616,159000,0,0,0,0,1,2,205,13,0,2020-10-04T11:36:56
1601800619,159000,0,0,0,0,1,2,219,13,0,2020-10-04T11:36:59
1601800622,159000,0,0,0,0,1,2,233,13,0,2020-10-04T11:37:02
1601800625,159000,0,0,0,0,1,2,247,13,0,2020-10-04T11:37:05
1601800628,159000,0,0,0,0,1,2,5,13,0,2020-10-04T11:37:08
1601800630,781000,0,0,0,0,1,2,19,13,0,2020-10-04T11:37:10
1601800633,781000,0,0,0,0,1,2,33,13,0,2020-10-04T11:37:13
1601800636,781000,0,0,0,0,1,2,47,13,0,2020-10-04T11:37:16
1601800639,781000,0,0,0,0,1,2,61,13,0,2020-10-04T11:37:19
1601800642,781000,0,0,0,0,1,2,75,13,0,2020-10-04T11:37:22
1601800645,781000,0,0,0,0,1,2,89,13,0,2020-10-04T11:37:25
1601800648,781000,0,0,0,0,1,2,103,13,0,2020-10-04T11:37:28
1601800651,781000,0,0,0,0,1,2,117,13,0,2020-10-04T11:37:31
1601800654,781000,0,0,0,0,1,2,131,13,0,2020-10-04T11:37:34
1601800657,781000,0,0,0,0,1,2,145,13,0,2020-10-04T11:37:37
1601800660,404000,0,0,0,0,1,2,159,13,0,2020-10-04T11:37:40
1601800663,404000,0,0,0,0,1,2,173,13,0,2020-10-04T11:37:43
1601800666,404000,0,0,0,0,1,2,187,13,0,2020-10-04T11:37:46
1601800669,404000,0,0,0,0,1,2,201,13,0,2020-10-04T11:37:49
1601800672,404000,0,0,0,0,1,2,215,13,0,2020-10-04T11:37:52
1601800675,404000,0,0,0,0,1,2,229,13,0,2020-10-04T11:37:55
1601800678,404000,0,0,0,0,1,2,243,13,0,2020-10-04T11:37:58
1601800681,404000,0,0,0,0,1,2,1,13,0,2020-10-04T11:38:01
1601800684,404000,0,0,0,0,1,2,15,13,0,2020-10-04T11:38:04
1601800687,404000,0,0,0,0,1,2,29,13,0,2020-10-04T11:38:07
1601800690,26000,0,0,0,0,1,2,43,13,0,2020-10-04T11:38:10
1601800693,26000,0,0,0,0,1,2,57,13,0,2020-10-04T11:38:13
1601800696,26000,0,0,0,0,1,2,71,13,0,2020-10-04T11:38:16
1601800699,26000,0,0,0,0,1,2,85,13,0,2020-10-04T11:38:19
1601800702,26000,0,0,0,0,1,2,99,13,0,2020-10-04T11:38:22
1601800705,26000,0,0,0,0,1,2,113,13,0,2020-10-04T11:38:25
1601800708,26000,0,0,0,0,1,2,127,13,0,2020-10-04T11:38:28
1601800711,26000,0,0,0,0,1,2,141,13,0,2020-10-04T11:38:31
1601800714,26000,0,0,0,0,1,2,155,13,0,2020-10-04T11:38:34
1601800717,26000,0,0,0,0,1,2,169,13,0,2020-10-04T11:38:37
1601800719,648000,0,0,0,0,1,2,183,13,0,2020-10-04T11:38:39
1601800722,648000,0,0,0,0,1,2,197,13,0,2020-10-04T11:38:42
1601800725,648000,0,0,0,0,1,2,211,13,0,2020-10-04T11:38:45
1601800728,648000,0,0,0,0,1,2,225,13,0,2020-10-04T11:38:48
1601800731,648000,0,0,0,0,1,2,239,13,0,2020-10-04T11:38:51
1601800734,648000,0,0,0,0,1,2,253,13,0,2020-10-04T11:38:54
1601800737,648000,0,0,0,0,1,2,11,13,0,2020-10-04T11:38:57
1601800740,648000,0,0,0,0,1,2,25,13,0,2020-10-04T11:39:00
1601800743,648000,0,0,0,0,1,2,39,13,0,2020-10-04T11:39:03
1601800746,648000,0,0,0,0,1,2,53,13,0,2020-10-04T11:39:06
1601800749,648000,0,0,0,0,1,2,67,13,0,2020-10-04T11:39:09
1601800752,270000,0,0,0,0,1,2,81,13,0,2020-10-04T11:39:12
1601800755,270000,0,0,0,0,1,2,95,13,0,2020-10-04T11:39:15
1601800758,270000,0,0,0,0,1,2,109,13,0,2020-10-04T11:39:18
1601800761,270000,0,0,0,0,1,2,123,13,0,2020-10-04T11:39:21
1601800764,270000,0,0,0,0,1,2,137,13,0,2020-10-04T11:39:24
1601800767,270000,0,0,0,0,1,2,151,13,0,2020-10-04T11:39:27
1601800770,270000,0,0,0,0,1,2,165,13,0,2020-10-04T11:39:30
1601800773,270000,0,0,0,0,1,2,179,13,0,2020-10-04T11:39:33
1601800776,270000,0,0,0,0,1,2,193,13,0,2020-10-04T11:39:36
1601800779,270000,0,0,0,0,1,2,207,13,0,2020-10-04T11:39:39
1601800781,892000,0,0,0,0,1,2,221,13,0,2020-10-04T11:39:41
1601800784,892000,0,0,0,0,1,2,235,13,0,2020-10-04T11:39:44
1601800787,892000,0,0,0,0,1,2,249,13,0,2020-10-04T11:39:47
1601800790,892000,0,0,0,0,1,2,7,13,0,2020-10-04T11:39:50
1601800793,892000,0,0,0,0,1,2,21,13,0,2020-10-04T11:39:53
1601800796,892000,0,0,0,0,1,2,35,13,0,2020-10-04T11:39:56
1601800799,892000,0,0,0,0,1,2,49,13,0,2020-10-04T11:39:59
1601800802,892000,0,0,0,0,1,2,63,13,0,2020-10-04T11:40:02
1601800805,892000,0,0,0,0,1,2,77,13,0,2020-10-04T11:40:05
1601800808,892000,0,0,0,0,1,2,91,13,0,2020-10-04T11:40:08
1601800811,516000,0,0,0,0,1,2,105,13,0,2020-10-04T11:40:11
1601800814,516000,0,0,0,0,1,2,119,13,0,2020-10-04T11:40:14
1601800817,516000,0,0,0,0,1,2,133,13,0,2020-10-04T11:40:17
1601800820,516000,0,0,0,0,1,2,147,13,0,2020-10-04T11:40:20
1601800823,516000,0,0,0,0,1,2,161,13,0,2020-10-04T11:40:23
1601800826,516000,0,0,0,0,1,2,175,13,0,2020-10-04T11:40:26
1601800829,516000,0,0,0,0,1,2,189,13,0,2020-10-04T11:40:29
1601800832,516000,0,0,0,0,1,2,203,13,0,2020-10-04T11:40:32
